Station,Campaign,Metal,Sediment_Median_mg_per_kg,Water_Conc_ug_per_L,Water_Conc_mg_per_L,Partitioning_Ratio_L_per_kg,Log_Partitioning_Ratio,pH,Clay_%,Sand_%,Organic_Matter_%,DO_mg_per_L,Fe_%,Mn_mg_per_kg,Al_%,S_%,Ca_%,P_%,Location
Agropil,February 2024,Arsenic,18.0,676.0,0.676,26.62721893491124,1.42532580916167,7.8,37.0,10.2,3.3,5.44,4.1203,484.5,,,,,Argentina/Paraguay
Agropil,February 2024,Cadmium,5.0,680.0,0.68,7.352941176470588,0.8664610916297825,7.8,37.0,10.2,3.3,5.44,4.1203,484.5,,,,,Argentina/Paraguay
Agropil,February 2024,Lead,25.5,1367.0,1.367,18.653986832479884,1.270771665866133,7.8,37.0,10.2,3.3,5.44,4.1203,484.5,,,,,Argentina/Paraguay
Agropil,February 2024,Zinc,138.0,25.0,0.025,5520.0,3.741939077729199,7.8,37.0,10.2,3.3,5.44,4.1203,484.5,,,,,Argentina/Paraguay
Agropil,September 2022,Arsenic,5.0,5.0,0.005,1000.0,3.0,7.9,1.0,83.8,0.5,8.14,1.943,241.0,,,,,Argentina/Paraguay
Agropil,September 2022,Cadmium,0.5,2.5,0.0025,200.0,2.3010299956639813,7.9,1.0,83.8,0.5,8.14,1.943,241.0,,,,,Argentina/Paraguay
Agropil,September 2022,Lead,10.0,19.0,0.019,526.3157894736843,2.721246399047171,7.9,1.0,83.8,0.5,8.14,1.943,241.0,,,,,Argentina/Paraguay
Agropil,September 2022,Zinc,51.9,91.0,0.091,570.3296703296703,2.756125965527364,7.9,1.0,83.8,0.5,8.14,1.943,241.0,,,,,Argentina/Paraguay
Chuquiago,April 2019,Arsenic,11.35,10.0,0.01,1135.0,3.0549958615291417,8.2,3.0,79.05,0.63,6.84,3.2,330.0,1.79,0.5,0.935,0.0675,Potosí (Mining Zone)
Chuquiago,April 2019,Cadmium,0.21000000000000002,10.0,0.01,21.0,1.3222192947339193,8.2,3.0,79.05,0.63,6.84,3.2,330.0,1.79,0.5,0.935,0.0675,Potosí (Mining Zone)
