Station,Campaign,Date,Location,Metal,Sediment_Conc_mg_per_kg,Water_Conc_ug_per_L,Water_Conc_mg_per_L,Partitioning_Ratio_L_per_kg,Log_Partitioning_Ratio,DO_mg_per_L,DO_Status,Station_DO_Status,pH,Fe_%,Mn_mg_per_kg,Al_%,S_%,Ca_%,P_%,Organic_Matter_%,Clay_%
Villamontes,November 2016,2016-11-30,Bolivia (Non-Mining),Arsenic,8.5,261.0,0.261,32.56704980842912,1.5127784183760118,9.56,Oxic,Generally Oxic,8.4,2.23,252.0,1.08,0.5,0.4,0.05,0.63,1.5
Villamontes,November 2016,2016-11-30,Bolivia (Non-Mining),Cadmium,0.09,6.0,0.006,15.0,1.1760912590556813,9.56,Oxic,Generally Oxic,8.4,2.23,252.0,1.08,0.5,0.4,0.05,0.63,1.5
Villamontes,November 2016,2016-11-30,Bolivia (Non-Mining),Lead,15.9,1026.0,1.026,15.497076023391813,1.190249763544654,9.56,Oxic,Generally Oxic,8.4,2.23,252.0,1.08,0.5,0.4,0.05,0.63,1.5
Villamontes,November 2016,2016-11-30,Bolivia (Non-Mining),Zinc,52.7,2412.0,2.412,21.849087893864017,1.339433311744433,9.56,Oxic,Generally Oxic,8.4,2.23,252.0,1.08,0.5,0.4,0.05,0.63,1.5
Villamontes,November 2016,2016-11-30,Bolivia (Non-Mining),Arsenic,6.7,261.0,0.261,25.670498084291186,1.4094342953625454,9.56,Oxic,Generally Oxic,8.4,1.28,158.0,0.74,0.5,0.31,0.03,0.63,1.5
Villamontes,November 2016,2016-11-30,Bolivia (Non-Mining),Cadmium,0.03,6.0,0.006,5.0,0.6989700043360189,9.56,Oxic,Generally Oxic,8.4,1.28,158.0,0.74,0.5,0.31,0.03,0.63,1.5
Villamontes,November 2016,2016-11-30,Bolivia (Non-Mining),Lead,9.2,1026.0,1.026,8.966861598440545,0.9526404665697578,9.56,Oxic,Generally Oxic,8.4,1.28,158.0,0.74,0.5,0.31,0.03,0.63,1.5
Villamontes,November 2016,2016-11-30,Bolivia (Non-Mining),Zinc,32.7,2412.0,2.412,13.55721393034826,1.1321704491921725,9.56,Oxic,Generally Oxic,8.4,1.28,158.0,0.74,0.5,0.31,0.03,0.63,1.5
Villamontes,November 2016,2016-11-30,Bolivia (Non-Mining),Arsenic,7.1,261.0,0.261,27.203065134099614,1.4346178413807942,9.56,Oxic,Generally Oxic,8.3,1.87,234.0,1.12,0.5,0.38,0.037,0.85,1.5
Villamontes,November 2016,2016-11-30,Bolivia (Non-Mining),Cadmium,0.07,6.0,0.006,11.666666666666668,1.0669467896306133,9.56,Oxic,Generally Oxic,8.3,1.87,234.0,1.12,0.5,0.38,0.037,0.85,1.5
Villamontes,November 2016,2016-11-30,Bolivia (Non-Mining),Lead,13.2,1026.0,1.026,12.865497076023392,1.1094265704300523,9.56,Oxic,Generally Oxic,8.3,1.87,234.0,1.12,0.5,0.38,0.037,0.85,1.5
Villamontes,November 2016,2016-11-30,Bolivia (Non-Mining),Zinc,48.4,2412.0,2.412,20.066334991708125,1.3024680581762988,9.56,Oxic,Generally Oxic,8.3,1.87,234.0,1.12,0.5,0.38,0.037,0.85,1.5
Villamontes,November 2016,2016-11-30,Bolivia (Non-Mining),Arsenic,5.5,261.0,0.261,21.0727969348659,1.3237221821559628,9.56,Oxic,Generally Oxic,8.3,1.26,156.0,0.73,0.5,0.31,0.027,0.85,1.5
Villamontes,November 2016,2016-11-30,Bolivia (Non-Mining),Cadmium,0.06,6.0,0.006,10.0,1.0,9.56,Oxic,Generally Oxic,8.3,1.26,156.0,0.73,0.5,0.31,0.027,0.85,1.5
Villamontes,November 2016,2016-11-30,Bolivia (Non-Mining),Lead,9.23,1026.0,1.026,8.996101364522417,0.9540543402501146,9.56,Oxic,Generally Oxic,8.3,1.26,156.0,0.73,0.5,0.31,0.027,0.85,1.5
Villamontes,November 2016,2016-11-30,Bolivia (Non-Mining),Zinc,33.5,2412.0,2.412,13.88888888888889,1.1426675035687315,9.56,Oxic,Generally Oxic,8.3,1.26,156.0,0.73,0.5,0.31,0.027,0.85,1.5
Villamontes,August 2016,2016-08-31,Bolivia (Non-Mining),Arsenic,8.6,4.0,0.004,2150.0,3.3324384599156054,8.52,Oxic,Generally Oxic,8.1,3.1,360.0,1.76,0.5,0.53,0.047,0.62,2.0
Villamontes,August 2016,2016-08-31,Bolivia (Non-Mining),Cadmium,0.08,0.5,0.0005,160.0,2.2041199826559246,8.52,Oxic,Generally Oxic,8.1,3.1,360.0,1.76,0.5,0.53,0.047,0.62,2.0
Villamontes,August 2016,2016-08-31,Bolivia (Non-Mining),Lead,18.5,1.5,0.0015,12333.333333333334,4.091080469347332,8.52,Oxic,Generally Oxic,8.1,3.1,360.0,1.76,0.5,0.53,0.047,0.62,2.0
Villamontes,August 2016,2016-08-31,Bolivia (Non-Mining),Zinc,75.0,31.0,0.031,2419.3548387096776,3.3836995695574275,8.52,Oxic,Generally Oxic,8.1,3.1,360.0,1.76,0.5,0.53,0.047,0.62,2.0
Villamontes,August 2016,2016-08-31,Bolivia (Non-Mining),Arsenic,5.8,4.0,0.004,1450.0,3.161368002234975,8.52,Oxic,Generally Oxic,8.1,2.33,257.0,1.07,0.5,0.45,0.038,0.62,2.0
Villamontes,August 2016,2016-08-31,Bolivia (Non-Mining),Cadmium,0.01,0.5,0.0005,20.0,1.3010299956639813,8.52,Oxic,Generally Oxic,8.1,2.33,257.0,1.07,0.5,0.45,0.038,0.62,2.0
Villamontes,August 2016,2016-08-31,Bolivia (Non-Mining),Lead,12.9,1.5,0.0015,8600.0,3.934498451243568,8.52,Oxic,Generally Oxic,8.1,2.33,257.0,1.07,0.5,0.45,0.038,0.62,2.0
Villamontes,August 2016,2016-08-31,Bolivia (Non-Mining),Zinc,52.9,31.0,0.031,1706.4516129032259,3.232093978200913,8.52,Oxic,Generally Oxic,8.1,2.33,257.0,1.07,0.5,0.45,0.038,0.62,2.0
Villamontes,August 2016,2016-08-31,Bolivia (Non-Mining),Arsenic,10.0,4.0,0.004,2500.0,3.3979400086720375,8.52,Oxic,Generally Oxic,8.1,1.67,166.0,0.83,0.5,0.34,0.03,0.62,2.0
Villamontes,August 2016,2016-08-31,Bolivia (Non-Mining),Cadmium,0.04,0.5,0.0005,80.0,1.9030899869919435,8.52,Oxic,Generally Oxic,8.1,1.67,166.0,0.83,0.5,0.34,0.03,0.62,2.0
Villamontes,August 2016,2016-08-31,Bolivia (Non-Mining),Lead,12.7,1.5,0.0015,8466.666666666666,3.9277124619002755,8.52,Oxic,Generally Oxic,8.1,1.67,166.0,0.83,0.5,0.34,0.03,0.62,2.0
Villamontes,August 2016,2016-08-31,Bolivia (Non-Mining),Zinc,38.7,31.0,0.031,1248.3870967741937,3.0963492711846388,8.52,Oxic,Generally Oxic,8.1,1.67,166.0,0.83,0.5,0.34,0.03,0.62,2.0
Villamontes,August 2016,2016-08-31,Bolivia (Non-Mining),Arsenic,6.1,4.0,0.004,1524.9999999999998,3.1832698436828046,8.52,Oxic,Generally Oxic,8.8,3.81,354.0,1.48,0.5,0.5,0.053,0.25,2.0
Villamontes,August 2016,2016-08-31,Bolivia (Non-Mining),Cadmium,0.06,0.5,0.0005,120.0,2.0791812460476247,8.52,Oxic,Generally Oxic,8.8,3.81,354.0,1.48,0.5,0.5,0.053,0.25,2.0
Villamontes,August 2016,2016-08-31,Bolivia (Non-Mining),Lead,19.5,1.5,0.0015,13000.0,4.113943352306837,8.52,Oxic,Generally Oxic,8.8,3.81,354.0,1.48,0.5,0.5,0.053,0.25,2.0
Villamontes,August 2016,2016-08-31,Bolivia (Non-Mining),Zinc,73.7,31.0,0.031,2377.4193548387098,3.3761057940247787,8.52,Oxic,Generally Oxic,8.8,3.81,354.0,1.48,0.5,0.5,0.053,0.25,2.0
Villamontes,August 2016,2016-08-31,Bolivia (Non-Mining),Arsenic,4.9,4.0,0.004,1225.0,3.0881360887005513,8.52,Oxic,Generally Oxic,8.8,2.16,229.0,0.81,0.5,0.4,0.039,0.25,2.0
Villamontes,August 2016,2016-08-31,Bolivia (Non-Mining),Cadmium,0.03,0.5,0.0005,60.0,1.7781512503836436,8.52,Oxic,Generally Oxic,8.8,2.16,229.0,0.81,0.5,0.4,0.039,0.25,2.0
Villamontes,August 2016,2016-08-31,Bolivia (Non-Mining),Lead,11.8,1.5,0.0015,7866.666666666667,3.895790748250444,8.52,Oxic,Generally Oxic,8.8,2.16,229.0,0.81,0.5,0.4,0.039,0.25,2.0
Villamontes,August 2016,2016-08-31,Bolivia (Non-Mining),Zinc,40.7,31.0,0.031,1312.9032258064517,3.1182327153909473,8.52,Oxic,Generally Oxic,8.8,2.16,229.0,0.81,0.5,0.4,0.039,0.25,2.0
Villamontes,August 2016,2016-08-31,Bolivia (Non-Mining),Arsenic,4.0,4.0,0.004,1000.0,3.0,8.52,Oxic,Generally Oxic,8.8,1.37,134.0,0.6,0.5,0.3,0.025,0.25,2.0
Villamontes,August 2016,2016-08-31,Bolivia (Non-Mining),Cadmium,0.01,0.5,0.0005,20.0,1.3010299956639813,8.52,Oxic,Generally Oxic,8.8,1.37,134.0,0.6,0.5,0.3,0.025,0.25,2.0
Villamontes,August 2016,2016-08-31,Bolivia (Non-Mining),Lead,7.85,1.5,0.0015,5233.333333333333,3.7187783976895714,8.52,Oxic,Generally Oxic,8.8,1.37,134.0,0.6,0.5,0.3,0.025,0.25,2.0
Villamontes,August 2016,2016-08-31,Bolivia (Non-Mining),Zinc,27.2,31.0,0.031,877.4193548387096,2.943207210199926,8.52,Oxic,Generally Oxic,8.8,1.37,134.0,0.6,0.5,0.3,0.025,0.25,2.0
Villamontes,August 2016,2016-08-31,Bolivia (Non-Mining),Arsenic,2.3,4.0,0.004,575.0,2.7596678446896306,8.52,Oxic,Generally Oxic,8.8,1.34,116.0,0.53,0.5,0.32,0.02,0.25,2.0
Villamontes,August 2016,2016-08-31,Bolivia (Non-Mining),Cadmium,0.03,0.5,0.0005,60.0,1.7781512503836436,8.52,Oxic,Generally Oxic,8.8,1.34,116.0,0.53,0.5,0.32,0.02,0.25,2.0
Villamontes,August 2016,2016-08-31,Bolivia (Non-Mining),Lead,5.74,1.5,0.0015,3826.6666666666665,3.5828206333422923,8.52,Oxic,Generally Oxic,8.8,1.34,116.0,0.53,0.5,0.32,0.02,0.25,2.0
Villamontes,August 2016,2016-08-31,Bolivia (Non-Mining),Zinc,22.2,31.0,0.031,716.1290322580645,2.8549912806163658,8.52,Oxic,Generally Oxic,8.8,1.34,116.0,0.53,0.5,0.32,0.02,0.25,2.0
Villamontes,August 2016,2016-08-31,Bolivia (Non-Mining),Arsenic,8.3,4.0,0.004,2075.0,3.3170181010481117,8.52,Oxic,Generally Oxic,8.4,4.82,443.0,1.6,0.5,0.49,0.062,0.27,1.0
Villamontes,August 2016,2016-08-31,Bolivia (Non-Mining),Cadmium,0.05,0.5,0.0005,100.0,2.0,8.52,Oxic,Generally Oxic,8.4,4.82,443.0,1.6,0.5,0.49,0.062,0.27,1.0
Villamontes,August 2016,2016-08-31,Bolivia (Non-Mining),Lead,24.8,1.5,0.0015,16533.333333333332,4.218360421770535,8.52,Oxic,Generally Oxic,8.4,4.82,443.0,1.6,0.5,0.49,0.062,0.27,1.0
Villamontes,August 2016,2016-08-31,Bolivia (Non-Mining),Zinc,89.0,31.0,0.031,2870.967741935484,3.45802831281064,8.52,Oxic,Generally Oxic,8.4,4.82,443.0,1.6,0.5,0.49,0.062,0.27,1.0
Villamontes,August 2016,2016-08-31,Bolivia (Non-Mining),Arsenic,7.4,4.0,0.004,1850.0,3.2671717284030137,8.52,Oxic,Generally Oxic,8.4,3.0,314.0,0.99,0.5,0.41,0.05,0.27,1.0
Villamontes,August 2016,2016-08-31,Bolivia (Non-Mining),Cadmium,0.01,0.5,0.0005,20.0,1.3010299956639813,8.52,Oxic,Generally Oxic,8.4,3.0,314.0,0.99,0.5,0.41,0.05,0.27,1.0
Villamontes,August 2016,2016-08-31,Bolivia (Non-Mining),Lead,15.8,1.5,0.0015,10533.333333333334,4.022565827898742,8.52,Oxic,Generally Oxic,8.4,3.0,314.0,0.99,0.5,0.41,0.05,0.27,1.0
Villamontes,August 2016,2016-08-31,Bolivia (Non-Mining),Zinc,55.8,31.0,0.031,1800.0,3.255272505103306,8.52,Oxic,Generally Oxic,8.4,3.0,314.0,0.99,0.5,0.41,0.05,0.27,1.0
Villamontes,August 2016,2016-08-31,Bolivia (Non-Mining),Arsenic,3.8,4.0,0.004,949.9999999999999,2.9777236052888476,8.52,Oxic,Generally Oxic,8.4,1.7,169.0,0.73,0.5,0.31,0.033,0.27,1.0
Villamontes,August 2016,2016-08-31,Bolivia (Non-Mining),Cadmium,0.02,0.5,0.0005,40.0,1.6020599913279623,8.52,Oxic,Generally Oxic,8.4,1.7,169.0,0.73,0.5,0.31,0.033,0.27,1.0
Villamontes,August 2016,2016-08-31,Bolivia (Non-Mining),Lead,8.59,1.5,0.0015,5726.666666666666,3.757901904775561,8.52,Oxic,Generally Oxic,8.4,1.7,169.0,0.73,0.5,0.31,0.033,0.27,1.0
Villamontes,August 2016,2016-08-31,Bolivia (Non-Mining),Zinc,34.3,31.0,0.031,1106.4516129032256,3.0439324262084977,8.52,Oxic,Generally Oxic,8.4,1.7,169.0,0.73,0.5,0.31,0.033,0.27,1.0
Villamontes,December 2017,2017-12-18,Bolivia (Non-Mining),Arsenic,5.1,74.0,0.074,68.91891891891892,1.8383384563669602,7.4,Oxic,Generally Oxic,8.2,1.97,272.0,1.08,0.5,0.43,0.045,0.65,1.0
Villamontes,December 2017,2017-12-18,Bolivia (Non-Mining),Cadmium,0.03,1.0,0.001,30.0,1.4771212547196624,7.4,Oxic,Generally Oxic,8.2,1.97,272.0,1.08,0.5,0.43,0.045,0.65,1.0
Villamontes,December 2017,2017-12-18,Bolivia (Non-Mining),Lead,11.4,176.0,0.176,64.77272727272728,1.8113921835223228,7.4,Oxic,Generally Oxic,8.2,1.97,272.0,1.08,0.5,0.43,0.045,0.65,1.0
Villamontes,December 2017,2017-12-18,Bolivia (Non-Mining),Zinc,41.5,499.0,0.499,83.16633266533066,1.9199475510887027,7.4,Oxic,Generally Oxic,8.2,1.97,272.0,1.08,0.5,0.43,0.045,0.65,1.0
Villamontes,December 2017,2017-12-18,Bolivia (Non-Mining),Arsenic,5.2,74.0,0.074,70.27027027027027,1.846771623903823,7.4,Oxic,Generally Oxic,8.4,1.73,247.0,1.13,0.5,0.47,0.041,0.6,1.0
Villamontes,December 2017,2017-12-18,Bolivia (Non-Mining),Cadmium,0.06,1.0,0.001,60.0,1.7781512503836436,7.4,Oxic,Generally Oxic,8.4,1.73,247.0,1.13,0.5,0.47,0.041,0.6,1.0
Villamontes,December 2017,2017-12-18,Bolivia (Non-Mining),Lead,10.5,176.0,0.176,59.659090909090914,1.7756766312557883,7.4,Oxic,Generally Oxic,8.4,1.73,247.0,1.13,0.5,0.47,0.041,0.6,1.0
Villamontes,December 2017,2017-12-18,Bolivia (Non-Mining),Zinc,37.8,499.0,0.499,75.75150300601202,1.8793912542138353,7.4,Oxic,Generally Oxic,8.4,1.73,247.0,1.13,0.5,0.47,0.041,0.6,1.0
Villamontes,December 2017,2017-12-18,Bolivia (Non-Mining),Arsenic,4.4,74.0,0.074,59.45945945945947,1.7742209567552112,7.4,Oxic,Generally Oxic,8.4,1.07,158.0,0.85,0.5,0.37,0.027,0.6,1.0
Villamontes,December 2017,2017-12-18,Bolivia (Non-Mining),Cadmium,0.04,1.0,0.001,40.0,1.6020599913279623,7.4,Oxic,Generally Oxic,8.4,1.07,158.0,0.85,0.5,0.37,0.027,0.6,1.0
Villamontes,December 2017,2017-12-18,Bolivia (Non-Mining),Lead,7.3,176.0,0.176,41.47727272727273,1.6178101923063062,7.4,Oxic,Generally Oxic,8.4,1.07,158.0,0.85,0.5,0.37,0.027,0.6,1.0
Villamontes,December 2017,2017-12-18,Bolivia (Non-Mining),Zinc,29.3,499.0,0.499,58.71743486973948,1.7687670747307196,7.4,Oxic,Generally Oxic,8.4,1.07,158.0,0.85,0.5,0.37,0.027,0.6,1.0
Villamontes,October 2017,2017-10-25,Bolivia (Non-Mining),Arsenic,7.4,64.0,0.064,115.625,2.063051745747089,7.72,Oxic,Generally Oxic,7.9,1.02,170.0,0.78,0.5,0.3,0.029,1.33,3.0
Villamontes,October 2017,2017-10-25,Bolivia (Non-Mining),Cadmium,0.13,1.0,0.001,130.0,2.113943352306837,7.72,Oxic,Generally Oxic,7.9,1.02,170.0,0.78,0.5,0.3,0.029,1.33,3.0
Villamontes,October 2017,2017-10-25,Bolivia (Non-Mining),Lead,11.4,145.0,0.145,78.62068965517243,1.8955368491014977,7.72,Oxic,Generally Oxic,7.9,1.02,170.0,0.78,0.5,0.3,0.029,1.33,3.0
Villamontes,October 2017,2017-10-25,Bolivia (Non-Mining),Zinc,33.6,552.0,0.552,60.869565217391305,1.7844001996606451,7.72,Oxic,Generally Oxic,7.9,1.02,170.0,0.78,0.5,0.3,0.029,1.33,3.0
Villamontes,August 2017,2017-08-28,Bolivia (Non-Mining),Arsenic,2.8,10.0,0.01,280.0,2.4471580313422194,7.93,Oxic,Generally Oxic,7.8,1.18,181.0,0.73,0.5,0.3,0.037,0.65,1.0
Villamontes,August 2017,2017-08-28,Bolivia (Non-Mining),Cadmium,0.02,0.5,0.0005,40.0,1.6020599913279623,7.93,Oxic,Generally Oxic,7.8,1.18,181.0,0.73,0.5,0.3,0.037,0.65,1.0
Villamontes,August 2017,2017-08-28,Bolivia (Non-Mining),Lead,6.23,1.0,0.001,6230.0,3.7944880466591697,7.93,Oxic,Generally Oxic,7.8,1.18,181.0,0.73,0.5,0.3,0.037,0.65,1.0
Villamontes,August 2017,2017-08-28,Bolivia (Non-Mining),Zinc,29.7,10.0,0.01,2970.0,3.4727564493172123,7.93,Oxic,Generally Oxic,7.8,1.18,181.0,0.73,0.5,0.3,0.037,0.65,1.0
Villamontes,August 2017,2017-08-28,Bolivia (Non-Mining),Arsenic,7.2,10.0,0.01,720.0,2.8573324964312685,7.93,Oxic,Generally Oxic,8.4,2.85,356.0,1.2,0.5,0.5,0.057,0.6,1.0
Villamontes,August 2017,2017-08-28,Bolivia (Non-Mining),Cadmium,0.09,0.5,0.0005,180.0,2.255272505103306,7.93,Oxic,Generally Oxic,8.4,2.85,356.0,1.2,0.5,0.5,0.057,0.6,1.0
Villamontes,August 2017,2017-08-28,Bolivia (Non-Mining),Lead,14.3,1.0,0.001,14300.0,4.155336037465061,7.93,Oxic,Generally Oxic,8.4,2.85,356.0,1.2,0.5,0.5,0.057,0.6,1.0
Villamontes,August 2017,2017-08-28,Bolivia (Non-Mining),Zinc,62.0,10.0,0.01,6200.0,3.792391689498254,7.93,Oxic,Generally Oxic,8.4,2.85,356.0,1.2,0.5,0.5,0.057,0.6,1.0
Villamontes,August 2017,2017-08-28,Bolivia (Non-Mining),Arsenic,3.2,10.0,0.01,320.0,2.505149978319906,7.93,Oxic,Generally Oxic,8.4,1.25,182.0,0.82,0.5,0.33,0.037,0.6,1.0
Villamontes,August 2017,2017-08-28,Bolivia (Non-Mining),Cadmium,0.04,0.5,0.0005,80.0,1.9030899869919435,7.93,Oxic,Generally Oxic,8.4,1.25,182.0,0.82,0.5,0.33,0.037,0.6,1.0
Villamontes,August 2017,2017-08-28,Bolivia (Non-Mining),Lead,6.92,1.0,0.001,6920.0,3.840106094456758,7.93,Oxic,Generally Oxic,8.4,1.25,182.0,0.82,0.5,0.33,0.037,0.6,1.0
Villamontes,August 2017,2017-08-28,Bolivia (Non-Mining),Zinc,30.0,10.0,0.01,3000.0,3.4771212547196626,7.93,Oxic,Generally Oxic,8.4,1.25,182.0,0.82,0.5,0.33,0.037,0.6,1.0
Villamontes,August 2017,2017-08-28,Bolivia (Non-Mining),Arsenic,2.0,10.0,0.01,200.0,2.3010299956639813,7.93,Oxic,Generally Oxic,8.8,1.2,168.0,0.72,0.5,0.32,0.039,0.35,1.0
Villamontes,August 2017,2017-08-28,Bolivia (Non-Mining),Cadmium,0.005,0.5,0.0005,10.0,1.0,7.93,Oxic,Generally Oxic,8.8,1.2,168.0,0.72,0.5,0.32,0.039,0.35,1.0
Villamontes,August 2017,2017-08-28,Bolivia (Non-Mining),Lead,6.85,1.0,0.001,6849.999999999999,3.8356905714924254,7.93,Oxic,Generally Oxic,8.8,1.2,168.0,0.72,0.5,0.32,0.039,0.35,1.0
Villamontes,August 2017,2017-08-28,Bolivia (Non-Mining),Zinc,28.8,10.0,0.01,2880.0,3.459392487759231,7.93,Oxic,Generally Oxic,8.8,1.2,168.0,0.72,0.5,0.32,0.039,0.35,1.0
Villamontes,August 2017,2017-08-28,Bolivia (Non-Mining),Arsenic,1.0,10.0,0.01,100.0,2.0,7.93,Oxic,Generally Oxic,8.8,0.73,116.0,0.45,0.5,0.28,0.025,0.35,1.0
Villamontes,August 2017,2017-08-28,Bolivia (Non-Mining),Cadmium,0.04,0.5,0.0005,80.0,1.9030899869919435,7.93,Oxic,Generally Oxic,8.8,0.73,116.0,0.45,0.5,0.28,0.025,0.35,1.0
Villamontes,August 2017,2017-08-28,Bolivia (Non-Mining),Lead,4.92,1.0,0.001,4920.0,3.69196510276736,7.93,Oxic,Generally Oxic,8.8,0.73,116.0,0.45,0.5,0.28,0.025,0.35,1.0
Villamontes,August 2017,2017-08-28,Bolivia (Non-Mining),Zinc,20.0,10.0,0.01,2000.0,3.3010299956639813,7.93,Oxic,Generally Oxic,8.8,0.73,116.0,0.45,0.5,0.28,0.025,0.35,1.0
Villamontes,March 2017,2017-03-21,Bolivia (Non-Mining),Arsenic,15.3,121.0,0.121,126.44628099173555,2.1019060605011486,8.33,Oxic,Generally Oxic,8.3,2.36,311.0,1.18,0.5,0.51,0.048,0.75,2.0
Villamontes,March 2017,2017-03-21,Bolivia (Non-Mining),Cadmium,0.25,3.0,0.003,83.33333333333333,1.9208187539523751,8.33,Oxic,Generally Oxic,8.3,2.36,311.0,1.18,0.5,0.51,0.048,0.75,2.0
Villamontes,March 2017,2017-03-21,Bolivia (Non-Mining),Lead,17.2,236.0,0.236,72.88135593220339,1.8626164439374424,8.33,Oxic,Generally Oxic,8.3,2.36,311.0,1.18,0.5,0.51,0.048,0.75,2.0
Villamontes,March 2017,2017-03-21,Bolivia (Non-Mining),Zinc,87.3,561.0,0.561,155.61497326203207,2.1920513824494083,8.33,Oxic,Generally Oxic,8.3,2.36,311.0,1.18,0.5,0.51,0.048,0.75,2.0
Villamontes,March 2017,2017-03-21,Bolivia (Non-Mining),Arsenic,22.8,121.0,0.121,188.42975206611573,2.2751494766840037,8.33,Oxic,Generally Oxic,7.9,2.68,353.0,1.19,0.5,0.47,0.055,0.65,2.0
Villamontes,March 2017,2017-03-21,Bolivia (Non-Mining),Cadmium,0.28,3.0,0.003,93.33333333333334,1.9700367766225568,8.33,Oxic,Generally Oxic,7.9,2.68,353.0,1.19,0.5,0.47,0.055,0.65,2.0
Villamontes,March 2017,2017-03-21,Bolivia (Non-Mining),Lead,20.7,236.0,0.236,87.71186440677967,1.9430583424868113,8.33,Oxic,Generally Oxic,7.9,2.68,353.0,1.19,0.5,0.47,0.055,0.65,2.0
Villamontes,March 2017,2017-03-21,Bolivia (Non-Mining),Zinc,91.2,561.0,0.561,162.5668449197861,2.211031977072255,8.33,Oxic,Generally Oxic,7.9,2.68,353.0,1.19,0.5,0.47,0.055,0.65,2.0
Villamontes,March 2017,2017-03-21,Bolivia (Non-Mining),Arsenic,13.7,121.0,0.121,113.22314049586777,2.053935196839957,8.33,Oxic,Generally Oxic,7.9,1.78,228.0,0.93,0.5,0.45,0.03,0.65,2.0
Villamontes,March 2017,2017-03-21,Bolivia (Non-Mining),Cadmium,0.19,3.0,0.003,63.333333333333336,1.8016323462331665,8.33,Oxic,Generally Oxic,7.9,1.78,228.0,0.93,0.5,0.45,0.03,0.65,2.0
Villamontes,March 2017,2017-03-21,Bolivia (Non-Mining),Lead,14.1,236.0,0.236,59.74576271186441,1.7763071096852734,8.33,Oxic,Generally Oxic,7.9,1.78,228.0,0.93,0.5,0.45,0.03,0.65,2.0
Villamontes,March 2017,2017-03-21,Bolivia (Non-Mining),Zinc,57.9,561.0,0.561,103.2085561497326,2.013715702471275,8.33,Oxic,Generally Oxic,7.9,1.78,228.0,0.93,0.5,0.45,0.03,0.65,2.0
Villamontes,March 2017,2017-03-21,Bolivia (Non-Mining),Arsenic,16.7,121.0,0.121,138.01652892561984,2.139931100831133,8.33,Oxic,Generally Oxic,8.1,2.9,396.0,2.06,0.5,0.45,0.048,1.07,2.0
Villamontes,March 2017,2017-03-21,Bolivia (Non-Mining),Cadmium,0.28,3.0,0.003,93.33333333333334,1.9700367766225568,8.33,Oxic,Generally Oxic,8.1,2.9,396.0,2.06,0.5,0.45,0.048,1.07,2.0
Villamontes,March 2017,2017-03-21,Bolivia (Non-Mining),Lead,17.5,236.0,0.236,74.15254237288136,1.870126045716188,8.33,Oxic,Generally Oxic,8.1,2.9,396.0,2.06,0.5,0.45,0.048,1.07,2.0
Villamontes,March 2017,2017-03-21,Bolivia (Non-Mining),Zinc,106.0,561.0,0.561,188.9483065953654,2.276343004008609,8.33,Oxic,Generally Oxic,8.1,2.9,396.0,2.06,0.5,0.45,0.048,1.07,2.0
Villamontes,March 2017,2017-03-21,Bolivia (Non-Mining),Arsenic,15.2,121.0,0.121,125.6198347107438,2.0990582176283223,8.33,Oxic,Generally Oxic,8.1,2.64,361.0,1.84,0.5,0.46,0.043,1.07,2.0
Villamontes,March 2017,2017-03-21,Bolivia (Non-Mining),Cadmium,0.29,3.0,0.003,96.66666666666666,1.9852767431792937,8.33,Oxic,Generally Oxic,8.1,2.64,361.0,1.84,0.5,0.46,0.043,1.07,2.0
