Station,Location,Lat_dd,Long_dd,Sand (%),Silt (%),Clay (%),pH,Organic Matter (%),Arsenic (mg/kg As),Cadmium (mg/kg Cd),Lead (mg/kg Pb),Zinc (mg/kg Zn),Contamination_Index,Mobility
San Antonio - Potosí,Potosi,-19.578056,-65.803383,63.184000000000005,30.538,6.279999999999999,6.76,2.556,279.78000000000003,11.338,346.281,2157.894,6.139420555555555,MODERATE
Tarapaya,Potosi,-19.471778,-65.794361,79.50666666666667,18.138947368421054,2.3614035087719296,7.42280701754386,2.070877192982456,243.5878181818182,7.853109090909091,202.74363636363637,1707.1181818181817,4.7834298989898985,MODERATE-HIGH
Colavi - Canutillos,Potosi,-19.321333,-65.551917,77.36057692307692,20.089615384615385,2.526923076923077,4.650491803278689,2.454423076923077,49.8557627118644,1.0942542372881356,36.45050847457627,184.26033898305084,1.0224884557438794,HIGH
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,Potosi,-19.129111,-65.573472,81.9188349514563,15.730776699029127,2.3640776699029127,8.145762711864407,0.8454545454545455,29.80145299145299,1.5243931623931626,92.48222222222222,222.29923076923077,0.9813584093067427,MODERATE-HIGH
Palca Grande,Bolivia (Non-Mining),-20.742417,-65.240583,64.94708333333334,31.97902777777778,3.076388888888889,7.9944444444444445,1.4159722222222222,63.92830985915493,0.8505211267605634,37.75915492957746,175.31845070422537,0.9333951408450705,MODERATE
El Solitario,Outside of Bolivia,-22.860067,-62.019233,41.04153846153846,48.84307692307693,10.115384615384615,7.8307692307692305,1.4092307692307693,68.05,2.394076923076923,20.623076923076926,85.92307692307692,0.9147223504273505,MODERATE
Cotagaita,Potosi,-20.824733,-65.671717,76.10826086956521,20.959565217391305,2.9347826086956523,7.172173913043479,0.8930434782608695,61.45782608695652,0.8585652173913043,25.921739130434784,123.63869565217392,0.8233284299516908,MODERATE-HIGH
Liviara,Outside of Bolivia,-22.5279,-66.350167,84.62899999999999,14.422,0.95,7.909999999999999,1.567,18.307,3.3042000000000002,14.401,404.7,0.7699288333333333,MODERATE-HIGH
Puente Aruma - Automática,Bolivia (Non-Mining),-20.913611,-64.110467,56.18787878787879,40.200303030303026,3.612727272727273,7.966666666666666,1.2933333333333332,24.125172413793102,1.3505172413793105,28.201034482758622,251.7489655172414,0.7569363793103449,MODERATE
El Puente,Bolivia (Non-Mining),-21.239278,-65.209361,83.15821428571428,13.463928571428571,2.307380952380952,8.06047619047619,0.8864285714285713,27.03329268292683,1.068987804878049,42.41317073170732,230.58719512195123,0.7182684959349595,MODERATE-HIGH
Talula - Automática,Potosi,-19.131017,-65.450863,62.583157894736836,33.62210526315789,3.7947368421052627,7.942105263157895,0.8852631578947369,16.44157894736842,2.6435789473684213,16.34263157894737,246.82842105263157,0.6103350584795322,MODERATE
La Angostura,Potosi,-21.50435,-65.706667,47.774,35.946,16.28,7.4799999999999995,1.784,12.8325,2.73825,48.1,158.65,0.6001112500000001,LOW
Viña Quemada,Potosi,-19.408453,-64.860335,56.602105263157895,36.65894736842105,6.742105263157894,7.963157894736843,1.1063157894736841,16.044736842105266,1.6664210526315788,23.800526315789472,233.03578947368422,0.5623343859649124,MODERATE
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,Potosi,-19.136528,-65.567833,71.3672,25.1774,3.4560000000000004,8.101532258064516,0.8251724137931035,15.071,1.11195,17.831000000000003,123.43283333333333,0.5115613333333333,MODERATE-HIGH
Villamontes,Bolivia (Non-Mining),-21.258833,-63.511556,78.33346153846153,18.96923076923077,2.7153846153846155,8.163717948717949,0.8467948717948718,20.909605263157893,0.4680921052631579,20.18907894736842,69.46394736842106,0.4877529020467836,MODERATE-HIGH
