Station,Campaign,Metal,Sediment_Conc_mg_per_kg,Water_Conc_ug_per_L,Water_Conc_mg_per_L,Partitioning_Ratio_L_per_kg,pH,Clay_%,Sand_%,Organic_Matter_%,Location
Villamontes,November 2016,Arsenic,8.5,261.0,0.261,32.56704980842912,8.4,1.5,95.5,0.63,Bolivia (Non-Mining)
Villamontes,November 2016,Cadmium,0.09,6.0,0.006,15.0,8.4,1.5,95.5,0.63,Bolivia (Non-Mining)
Villamontes,November 2016,Lead,15.9,1026.0,1.026,15.497076023391813,8.4,1.5,95.5,0.63,Bolivia (Non-Mining)
Villamontes,November 2016,Zinc,52.7,2412.0,2.412,21.849087893864017,8.4,1.5,95.5,0.63,Bolivia (Non-Mining)
Villamontes,November 2016,Arsenic,6.7,261.0,0.261,25.670498084291186,8.4,1.5,95.5,0.63,Bolivia (Non-Mining)
Villamontes,November 2016,Cadmium,0.03,6.0,0.006,5.0,8.4,1.5,95.5,0.63,Bolivia (Non-Mining)
Villamontes,November 2016,Lead,9.2,1026.0,1.026,8.966861598440545,8.4,1.5,95.5,0.63,Bolivia (Non-Mining)
Villamontes,November 2016,Zinc,32.7,2412.0,2.412,13.55721393034826,8.4,1.5,95.5,0.63,Bolivia (Non-Mining)
Villamontes,November 2016,Arsenic,7.1,261.0,0.261,27.203065134099614,8.3,1.5,95.4,0.85,Bolivia (Non-Mining)
Villamontes,November 2016,Cadmium,0.07,6.0,0.006,11.666666666666668,8.3,1.5,95.4,0.85,Bolivia (Non-Mining)
Villamontes,November 2016,Lead,13.2,1026.0,1.026,12.865497076023392,8.3,1.5,95.4,0.85,Bolivia (Non-Mining)
Villamontes,November 2016,Zinc,48.4,2412.0,2.412,20.066334991708125,8.3,1.5,95.4,0.85,Bolivia (Non-Mining)
Villamontes,November 2016,Arsenic,5.5,261.0,0.261,21.0727969348659,8.3,1.5,95.4,0.85,Bolivia (Non-Mining)
Villamontes,November 2016,Cadmium,0.06,6.0,0.006,10.0,8.3,1.5,95.4,0.85,Bolivia (Non-Mining)
Villamontes,November 2016,Lead,9.23,1026.0,1.026,8.996101364522417,8.3,1.5,95.4,0.85,Bolivia (Non-Mining)
Villamontes,November 2016,Zinc,33.5,2412.0,2.412,13.88888888888889,8.3,1.5,95.4,0.85,Bolivia (Non-Mining)
Villamontes,August 2016,Arsenic,8.6,4.0,0.004,2150.0,8.1,2.0,81.25,0.62,Bolivia (Non-Mining)
Villamontes,August 2016,Cadmium,0.08,0.5,0.0005,160.0,8.1,2.0,81.25,0.62,Bolivia (Non-Mining)
Villamontes,August 2016,Lead,18.5,1.5,0.0015,12333.333333333334,8.1,2.0,81.25,0.62,Bolivia (Non-Mining)
Villamontes,August 2016,Zinc,75.0,31.0,0.031,2419.3548387096776,8.1,2.0,81.25,0.62,Bolivia (Non-Mining)
Villamontes,August 2016,Arsenic,5.8,4.0,0.004,1450.0,8.1,2.0,81.25,0.62,Bolivia (Non-Mining)
Villamontes,August 2016,Cadmium,0.01,0.5,0.0005,20.0,8.1,2.0,81.25,0.62,Bolivia (Non-Mining)
Villamontes,August 2016,Lead,12.9,1.5,0.0015,8600.0,8.1,2.0,81.25,0.62,Bolivia (Non-Mining)
Villamontes,August 2016,Zinc,52.9,31.0,0.031,1706.4516129032259,8.1,2.0,81.25,0.62,Bolivia (Non-Mining)
Villamontes,August 2016,Arsenic,10.0,4.0,0.004,2500.0,8.1,2.0,81.25,0.62,Bolivia (Non-Mining)
Villamontes,August 2016,Cadmium,0.04,0.5,0.0005,80.0,8.1,2.0,81.25,0.62,Bolivia (Non-Mining)
Villamontes,August 2016,Lead,12.7,1.5,0.0015,8466.666666666666,8.1,2.0,81.25,0.62,Bolivia (Non-Mining)
Villamontes,August 2016,Zinc,38.7,31.0,0.031,1248.3870967741937,8.1,2.0,81.25,0.62,Bolivia (Non-Mining)
Villamontes,August 2016,Arsenic,6.1,4.0,0.004,1524.9999999999998,8.8,2.0,95.07,0.25,Bolivia (Non-Mining)
Villamontes,August 2016,Cadmium,0.06,0.5,0.0005,120.0,8.8,2.0,95.07,0.25,Bolivia (Non-Mining)
Villamontes,August 2016,Lead,19.5,1.5,0.0015,13000.0,8.8,2.0,95.07,0.25,Bolivia (Non-Mining)
Villamontes,August 2016,Zinc,73.7,31.0,0.031,2377.4193548387098,8.8,2.0,95.07,0.25,Bolivia (Non-Mining)
Villamontes,August 2016,Arsenic,4.9,4.0,0.004,1225.0,8.8,2.0,95.07,0.25,Bolivia (Non-Mining)
Villamontes,August 2016,Cadmium,0.03,0.5,0.0005,60.0,8.8,2.0,95.07,0.25,Bolivia (Non-Mining)
Villamontes,August 2016,Lead,11.8,1.5,0.0015,7866.666666666667,8.8,2.0,95.07,0.25,Bolivia (Non-Mining)
Villamontes,August 2016,Zinc,40.7,31.0,0.031,1312.9032258064517,8.8,2.0,95.07,0.25,Bolivia (Non-Mining)
Villamontes,August 2016,Arsenic,4.0,4.0,0.004,1000.0,8.8,2.0,95.07,0.25,Bolivia (Non-Mining)
Villamontes,August 2016,Cadmium,0.01,0.5,0.0005,20.0,8.8,2.0,95.07,0.25,Bolivia (Non-Mining)
Villamontes,August 2016,Lead,7.85,1.5,0.0015,5233.333333333333,8.8,2.0,95.07,0.25,Bolivia (Non-Mining)
Villamontes,August 2016,Zinc,27.2,31.0,0.031,877.4193548387096,8.8,2.0,95.07,0.25,Bolivia (Non-Mining)
