Metal,Variable,Spearman_rho,p_value,n_samples,Significant
Arsenic,pH,-0.21994533449231357,9.980619335679752e-11,846,True
Arsenic,Clay_%,-0.0713538849338581,0.04649542241509494,779,True
Arsenic,Organic_Matter_%,0.016964291434033097,0.6331476921679171,794,False
Arsenic,DO_mg_per_L,0.16572460099120664,1.25529513082901e-06,846,True
Cadmium,pH,-0.26511337488042264,4.835330132387548e-15,844,True
Cadmium,Clay_%,-0.4246692040783579,2.284869712355845e-35,777,True
Cadmium,Organic_Matter_%,0.018777262195287654,0.597741667001608,792,False
Cadmium,DO_mg_per_L,0.08996286470433536,0.008922672027384537,844,True
Lead,pH,-0.22858170371274986,1.720275912268043e-11,846,True
Lead,Clay_%,-0.24085785115007163,9.61038302019159e-12,779,True
Lead,Organic_Matter_%,-0.15364791536342357,1.3706104940781471e-05,794,True
Lead,DO_mg_per_L,0.24898401996347067,2.02291577381566e-13,846,True
Zinc,pH,0.03331776605520174,0.3330847873126256,846,False
Zinc,Clay_%,0.17819485132199026,5.567414790427327e-07,779,True
Zinc,Organic_Matter_%,0.13434940997703385,0.0001464809957440873,794,True
Zinc,DO_mg_per_L,0.1876017539763091,3.854053126311645e-08,846,True
