Metal,Parameter,Parameter_Code,Spearman_rho,p_value,n_samples,Significant
Arsenic,Iron (%),Fe_%,0.32087977848018046,1.0321322902554729e-21,846,True
Arsenic,Manganese (mg/kg),Mn_mg_per_kg,0.2075752775502682,1.0934758943154504e-09,846,True
Arsenic,Aluminum (%),Al_%,0.2560431617778884,7.830324935312218e-10,560,True
Arsenic,Organic Matter (%),Organic_Matter_%,0.016964291434033097,0.6331476921679171,794,False
Arsenic,Sulfur (%),S_%,0.10413394039229516,0.01368379836744663,560,True
Arsenic,Calcium (%),Ca_%,-0.032837618211115895,0.43801313302392686,560,False
Arsenic,Phosphorus (%),P_%,0.1766291860061839,2.6274503328679303e-05,560,True
Cadmium,Iron (%),Fe_%,-0.05231121208985217,0.12888438165679786,844,False
Cadmium,Manganese (mg/kg),Mn_mg_per_kg,0.032832241089755944,0.3407548085822977,844,False
Cadmium,Aluminum (%),Al_%,0.21671954303896065,2.2339824824585123e-07,560,True
Cadmium,Organic Matter (%),Organic_Matter_%,0.018777262195287654,0.597741667001608,792,False
Cadmium,Sulfur (%),S_%,0.13772452194164395,0.001085180042188797,560,True
Cadmium,Calcium (%),Ca_%,0.3005149680308782,3.7535095344244915e-13,560,True
Cadmium,Phosphorus (%),P_%,0.26894918420809866,9.809244261357133e-11,560,True
Lead,Iron (%),Fe_%,0.10939125281823082,0.0014394285881617038,846,True
Lead,Manganese (mg/kg),Mn_mg_per_kg,0.12522228604861577,0.0002609966164187416,846,True
Lead,Aluminum (%),Al_%,0.19034073254783807,5.739905021579947e-06,560,True
Lead,Organic Matter (%),Organic_Matter_%,-0.15364791536342357,1.3706104940781471e-05,794,True
Lead,Sulfur (%),S_%,0.07093620608861186,0.09353871766389112,560,False
Lead,Calcium (%),Ca_%,0.10276812914896633,0.014976434228096646,560,True
Lead,Phosphorus (%),P_%,0.14744618867603967,0.00046426764549427097,560,True
Zinc,Iron (%),Fe_%,0.28671329943180257,1.796449451051355e-17,846,True
Zinc,Manganese (mg/kg),Mn_mg_per_kg,0.1844425195742945,6.546250776018911e-08,846,True
Zinc,Aluminum (%),Al_%,0.3051724448855617,1.5547787933740204e-13,560,True
Zinc,Organic Matter (%),Organic_Matter_%,0.13434940997703385,0.0001464809957440873,794,True
Zinc,Sulfur (%),S_%,0.013010447790388048,0.7586847180211289,560,False
Zinc,Calcium (%),Ca_%,0.21112094012552116,4.611545391165916e-07,560,True
Zinc,Phosphorus (%),P_%,0.23690082519040503,1.3905944836788657e-08,560,True
