Station,Location_Clean,Sand (%),Clay (%),Silt (%),pH,Organic Matter (%),Arsenic (mg/kg As),Cadmium (mg/kg Cd),Lead (mg/kg Pb),Zinc (mg/kg Zn),Arsenic_Calculated_Kd,Cadmium_Calculated_Kd,Lead_Calculated_Kd,Zinc_Calculated_Kd,Arsenic_Fraction_Mobile,Cadmium_Fraction_Mobile,Lead_Fraction_Mobile,Zinc_Fraction_Mobile
Agropil,Argentina/Paraguay,65.34,11.0,23.66,7.8999999999999995,1.2714285714285711,9.252857142857144,1.667,14.957142857142857,69.84285714285714,0.12061830503785102,4.382013329090469,43.820133290904685,8.743266059225531,0.8,0.38571428571428573,0.38571428571428573,0.38571428571428573
Chuquiago,Potosí (Mining Zone),78.57962962962964,3.225925925925926,18.18148148148148,7.985185185185185,0.7544444444444445,11.649999999999999,0.6633076923076924,21.590384615384615,91.2973076923077,0.07157288437514432,3.6635572300024783,36.63557230002478,7.309757679755718,0.8,0.24814814814814815,0.24814814814814815,0.24814814814814815
Colavi - Canutillos,Potosí (Mining Zone),77.36057692307692,2.526923076923077,20.089615384615385,4.650491803278689,2.454423076923077,49.8557627118644,1.0942542372881356,36.45050847457627,184.26033898305084,0.6554986864590011,4.0166110345876405,40.166110345876405,8.014192631200878,0.559016393442623,0.8016393442622951,0.8016393442622951,0.8016393442622951
Cotagaita,Potosí (Mining Zone),76.10826086956521,2.9347826086956523,20.959565217391305,7.172173913043479,0.8930434782608695,61.45782608695652,0.8585652173913043,25.921739130434784,123.63869565217392,0.0847215432259024,2.824051440863414,28.240514408634137,5.634723415488332,0.8,0.5,0.5,0.5
El Potrillo,Argentina/Paraguay,67.30833333333334,4.061111111111111,28.631666666666668,8.18,1.01,7.758095238095238,0.6374761904761905,14.91904761904762,62.31904761904762,0.09557984227858927,5.41144764596314,54.1144764596314,10.797257557417304,0.8000000000000002,0.16666666666666666,0.16666666666666666,0.16666666666666666
El Puente,Bolivia (Non-Mining),83.15821428571428,2.307380952380952,13.463928571428571,8.06047619047619,0.8864285714285713,27.03329268292683,1.068987804878049,42.41317073170732,230.58719512195123,0.08409399806290625,4.884589600081515,48.84589600081515,9.746037553131552,0.8,0.2,0.2,0.2
El Solitario,Argentina/Paraguay,41.04153846153846,10.115384615384615,48.84307692307693,7.8307692307692305,1.4092307692307693,68.05,2.394076923076923,20.623076923076926,85.92307692307692,0.13369136938681087,5.434252532935508,54.34252532935508,10.842759288990395,0.8,0.3153846153846154,0.3153846153846154,0.3153846153846154
General Díaz,Argentina/Paraguay,25.49,0.0,74.51,8.0,0.58,4.994999999999999,0.0895,12.719999999999999,53.45,0.055023631286929796,3.66824208579532,36.6824208579532,7.319105195970239,0.8,0.1,0.1,0.1
Hacienda 9 de junio,Argentina/Paraguay,52.173846153846156,14.384615384615385,33.441538461538464,7.800000000000001,1.8107692307692307,12.593846153846155,1.6996153846153845,18.189230769230768,87.9,0.17178465258545458,6.232119511808761,62.32119511808761,12.434713204294267,0.8,0.37692307692307697,0.37692307692307697,0.37692307692307697
La Angostura,Potosí (Mining Zone),47.774,16.28,35.946,7.4799999999999995,1.784,12.8325,2.73825,48.1,158.65,0.16924510037221166,5.641503345740389,56.41503345740389,11.256279025526643,0.8,0.5,0.5,0.5
Liviara,Argentina/Paraguay,84.62899999999999,0.95,14.422,7.909999999999999,1.567,18.307,3.3042000000000002,14.401,404.7,0.1486586728045155,7.43451477905586,74.34514779055861,14.83380716872934,0.8,0.33999999999999997,0.33999999999999997,0.33999999999999997
Marca Borrada,Argentina/Paraguay,,,,8.325,,7.1499999999999995,0.14250000000000002,25.7,57.7875,0.09486832980505137,6.324555320336759,63.24555320336759,12.61914688960386,0.8,0.1,0.1,0.1
María Cristina,Argentina/Paraguay,58.628181818181815,4.8545454545454545,36.51772727272727,8.04,0.8054545454545454,11.006896551724138,0.5261034482758621,19.30310344827586,70.02758620689654,0.08086707285451276,4.267984400654841,42.67984400654841,8.515748435501639,0.8,0.21034482758620693,0.21034482758620693,0.21034482758620693
