Event_Station,Event_Date,Event_Concentration,Downstream_Station,Metal,Before_Median,Before_n,After_Median,After_n,Change_Factor,Mann_Whitney_p,Significant,Sen_Slope,Increasing
Potosí - Naciente río La Ribera,2017-10-04,10.0,Villamontes,Arsenic,10.0,5,64.0,3,6.4,0.7857142857142857,False,-0.2222222222222222,False
Potosí - Naciente río La Ribera,2017-10-04,10.0,Misión La Paz - SNIH,Arsenic,32.5,4,31.0,3,0.9538461538461539,0.7212766990291557,False,0.007936507936507936,True
Potosí - Naciente río La Ribera,2017-10-04,10.0,El Puente,Arsenic,6.0,5,21.0,3,3.5,0.1744942454633539,False,0.0873015873015873,True
Potosí - Naciente río La Ribera,2017-10-04,10.0,Palca Grande,Arsenic,10.0,5,10.0,3,1.0,0.5411928987419992,False,0.12598425196850394,True
Potosí - Naciente río La Ribera,2017-10-04,10.0,Colavi - Canutillos,Arsenic,6.5,6,209.0,2,32.15384615384615,0.06513295836533664,False,,
Potosí - Naciente río La Ribera,2017-10-04,10.0,Tarapaya,Arsenic,185.0,5,148.5,2,0.8027027027027027,0.8571428571428571,False,,
Potosí - Naciente río La Ribera,2017-10-04,10.0,Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,Arsenic,10.0,6,132.5,2,13.25,0.06513295836533664,False,,
Potosí - Naciente río La Ribera,2017-10-04,10.0,Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,Arsenic,71.0,6,66.0,2,0.9295774647887324,0.8571428571428571,False,,
Potosí - Naciente río La Ribera,2017-10-04,1.0,Villamontes,Cadmium,0.5,5,1.0,3,2.0,0.3563733518637908,False,0.07142857142857142,True
Potosí - Naciente río La Ribera,2017-10-04,1.0,Misión La Paz - SNIH,Cadmium,0.5,4,1.0,3,2.0,0.19474217283959172,False,0.07142857142857142,True
Potosí - Naciente río La Ribera,2017-10-04,1.0,El Puente,Cadmium,0.5,5,6.0,3,12.0,0.016804604239087036,True,0.07142857142857142,True
Potosí - Naciente río La Ribera,2017-10-04,1.0,Palca Grande,Cadmium,0.5,5,7.0,3,14.0,0.016804604239087036,True,0.07086614173228346,True
Potosí - Naciente río La Ribera,2017-10-04,1.0,Colavi - Canutillos,Cadmium,3.25,6,23.0,2,7.076923076923077,0.06351681785992272,False,,
Potosí - Naciente río La Ribera,2017-10-04,1.0,Tarapaya,Cadmium,18.0,5,18.5,2,1.0277777777777777,0.5714285714285714,False,,
Potosí - Naciente río La Ribera,2017-10-04,1.0,Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,Cadmium,0.5,6,13.5,2,27.0,0.05078604537182736,False,,
Potosí - Naciente río La Ribera,2017-10-04,1.0,Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,Cadmium,3.5,6,5.5,2,1.5714285714285714,1.0,False,,
Potosí - Naciente río La Ribera,2017-10-04,1.0,Villamontes,Lead,8.0,5,145.0,3,18.125,0.7857142857142857,False,-0.07142857142857142,False
Potosí - Naciente río La Ribera,2017-10-04,1.0,Misión La Paz - SNIH,Lead,63.5,4,81.0,3,1.2755905511811023,0.8571428571428571,False,0.36507936507936506,True
Potosí - Naciente río La Ribera,2017-10-04,1.0,El Puente,Lead,3.0,5,104.0,3,34.666666666666664,0.7642282177641773,False,0.8174603174603174,True
Potosí - Naciente río La Ribera,2017-10-04,1.0,Palca Grande,Lead,3.0,5,1.0,3,0.3333333333333333,0.5461676346267483,False,0.5039370078740157,True
Potosí - Naciente río La Ribera,2017-10-04,1.0,Colavi - Canutillos,Lead,2.5,6,62.5,2,25.0,0.07142857142857142,False,,
Potosí - Naciente río La Ribera,2017-10-04,1.0,Tarapaya,Lead,296.0,5,119.0,2,0.40202702702702703,0.38095238095238093,False,,
Potosí - Naciente río La Ribera,2017-10-04,1.0,Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,Lead,4.5,6,149.5,2,33.22222222222222,0.06513295836533664,False,,
Potosí - Naciente río La Ribera,2017-10-04,1.0,Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,Lead,94.0,6,48.0,2,0.5106382978723404,0.42857142857142855,False,,
Potosí - Naciente río La Ribera,2017-10-04,66.0,Villamontes,Zinc,55.0,5,552.0,3,10.036363636363637,0.5714285714285714,False,1.4365079365079365,True
Potosí - Naciente río La Ribera,2017-10-04,66.0,Misión La Paz - SNIH,Zinc,237.0,4,271.0,3,1.1434599156118144,1.0,False,2.3253968253968256,True
Potosí - Naciente río La Ribera,2017-10-04,66.0,El Puente,Zinc,43.0,5,473.0,3,11.0,0.5485954657999336,False,4.380952380952381,True
