Station,Code,Date,Time,Campaign,Responsible,Institution,River,Basin,Latitude,Longitude,Latitude Decimal,Longitude Decimal,Average Velocity (m/s),Flow (m3/s),Resistivity (Ohm.cm),Partial Pressure (mm Hg),pH,pH (mV),Specific Conductivity (T ref. 25°C) (uS/cm),Salinity (Sal),Temperature (°C),Dissolved Oxygen (mg/l O2),Oxygen Saturation (%),Turbidity (NTU),Total Solids (mg/l),Total Dissolved Solids (mg/l),Total Suspended Solids (mg/l),Color (u PtCo),Total Hardness (mg/l CaCO3),Phenolphthalein Alkalinity (mg/l CaCO3),Total Alkalinity (mg/l CaCO3),Chlorides (mg/l Cl-),Sulfates (mg/l SO4),Dissolved Calcium (mg/l Ca),Dissolved Magnesium (mg/l Mg),Dissolved Sodium (mg/l Na),Dissolved Potassium (mg/l K),Total Calcium (mg/l Ca),Total Magnesium (mg/l Mg),Total Sodium (mg/l Na),Total Potassium (mg/l K),Total Phosphorus (mg/l PO4),Dissolved Phosphorus (mg/l PO4),Ammoniacal Nitrogen (mg/l NH4),Nitrite (mg/l NO2),Nitrate (mg/l NO3),Total Kjeldahl Nitrogen (mg/l N),Biochemical Oxygen Demand (mg/l O2),Chemical Oxygen Demand (mg/l O2),Dissolved Organic Carbon (mg/l),Total Coliforms (CFU) (CFU/100 ml),Fecal Coliforms (CFU) (CFU/100 ml),Total Coliforms (MPN) (MPN/100 ml),Fecal Coliforms (MPN) (MPN/100 ml),Total Mesophilic Aerobes (CFU) (CFU/100 ml),Dissolved Bismuth (ug/l Bi),Total Bismuth (ug/l Bi),Dissolved Thallium (ug/l Tl),Total Thallium (ug/l Tl),Dissolved Chromium (ug/l Cr),Dissolved Manganese (ug/l Mn),Dissolved Nickel (ug/l Ni),Dissolved Copper (ug/l Cu),Dissolved Zinc (ug/l Zn),Dissolved Arsenic (ug/l As),Dissolved Cadmium (ug/l Cd),Dissolved Lead (ug/l Pb),Dissolved Silver (ug/l Ag),Dissolved Mercury (ug/l Hg),Dissolved Iron (ug/l Fe),Dissolved Boron (ug/l B),Dissolved Selenium (ug/l Se),Total Chromium (ug/l Cr),Total Manganese (ug/l Mn),Total Nickel (ug/l Ni),Total Copper (ug/l Cu),Total Zinc (ug/l Zn),Total Arsenic (ug/l As),Total Cadmium (ug/l Cd),Total Lead (ug/l Pb),Total Silver (ug/l Ag),Total Mercury (ug/l Hg),Total Iron (ug/l Fe),Total Boron (ug/l B),Total Selenium (ug/l Se),Cyanides (mg/l CN-),Free Cyanides (mg/l CN-),Sulfides (mg/l S),Phenols (mg/l C6H6O),Total Hydrocarbons (mg/l),Suspended Thallium (mg/kg Tl),Suspended Selenium (mg/kg Se),Suspended Zinc (mg/kg Zn),Suspended Lead (mg/kg Pb),Suspended Arsenic (mg/kg As),Suspended Bismuth (mg/kg Bi),Suspended Boron (mg/kg B),Suspended Cadmium (mg/kg Cd),Suspended Copper (mg/kg Cu),Suspended Chromium (mg/kg Cr),Suspended Iron (mg/kg Fe),Suspended Manganese (mg/kg Mn),Suspended Nickel (mg/kg Ni),Suspended Silver (mg/kg Ag),Year,Total Mesophilic Aerobes (MPN) (MPN/100 ml),Suspended Mercury (mg/kg Hg),Fluorides (mg/l F),pH in laboratory,Settleable Solids (ml/l),Total Coliforms (CFU/100 ml),Fecal Coliforms (CFU/100 ml),Total Mesophilic Aerobes (CFU/100 ml),Total Organic Carbon (mg/l),Total Mesophilic Aerobes (MPN/100 ml),Total Coliforms (MPN/100 ml),Fecal Coliforms (MPN/100 ml),Location,Month,Month_Name,Season,DO_Status
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,BTC-116,2016-11-16,14:00,November 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tacobamba,,"19° 8' 11.5""","65° 34' 4.2""",-19.1365,-65.5678,0.5,0.0,1150.0,,8.367,-101.9,871.0,0.35,26.95,5.63,100.6,48.8,629.0,562.0,67.0,,225.5,15.0,230.0,16.1,146.5,38.32,31.49,32.9,13.1,38.38,33.0,33.3,14.1,,,,,,,6.0,9.0,,,,,,,0.05,0.5,0.05,0.5,1.0,43.0,2.0,1.0,1.0,0.2,0.05,0.1,0.05,0.02,182.0,184.0,1.0,1.5,96.0,12.5,49.0,39.0,1.5,0.5,5.0,0.5,0.05,1545.0,363.0,12.5,,,0.0005,,,,,567.16,,,,2671.64,,731.34,,20343.28,791.04,,,2016,,,,,,,,,,,,,Potosi,11,November,Spring (Transition),Oxic
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,BPT-118,2016-11-16,10:55,November 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,,19 7 57.3,65 34 24.5,-19.1326,-65.5735,0.672,3.0,819.0,167.0,8.645,-116.2,1222.0,0.6,21.9,7.04,114.0,125.0,849.0,728.0,121.0,,151.1,10.0,155.0,215.0,74.7,29.01,19.06,180.8,16.7,29.08,20.19,195.6,21.2,,,,,,,2.5,1.0,,,,,,,0.05,0.5,0.1,0.5,1.0,18.0,2.0,2.0,5.0,16.0,0.05,0.1,0.05,0.02,138.0,1686.0,1.0,11.0,192.0,12.5,27.0,202.0,29.0,0.5,12.0,0.5,0.05,4404.0,2969.0,12.5,,,0.0005,,,,,1628.1,,107.44,,10603.31,,206.61,82.64,35256.2,1438.02,,,2016,,,,,,,,,,,,,Potosi,11,November,Spring (Transition),Oxic
Tarapaya,BTA-050,2016-11-15,15:50,November 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tarapaya,Unidad 1,"19° 28' 18.4""","65° 47' 39.7""",-19.4718,-65.7944,0.271,0.0,,,7.647,-47.3,1917.0,0.9,22.8,4.36,69.0,,1366.0,1236.0,130.0,,502.6,15.0,205.0,185.5,487.9,157.82,25.47,177.9,35.2,159.28,25.84,177.9,37.3,,,,,,,24.0,32.0,,,,,,,0.05,1.0,0.3,1.0,1.0,1164.0,16.0,6.0,408.0,24.0,0.8,1.0,0.05,0.02,626.0,255.0,1.0,1.5,2160.0,27.0,73.0,4107.0,175.0,10.0,524.0,3.0,0.05,15370.0,716.0,12.5,,,0.0005,,,5.38,,28453.85,3760.0,1161.54,7.69,3546.15,70.77,515.38,,113415.38,7661.54,84.62,23.08,2016,,,,,,,,,,,,,Potosi,11,November,Spring (Transition),Oxic
Colavi - Canutillos,BC7-113,2016-11-15,11:25,November 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Colavi,Unidad 1,"19° 19' 16.8""","65° 33' 6.9""",-19.3213,-65.5519,0.456,0.0,4360.0,132.6,7.681,-60.8,230.0,0.0,21.2,5.7,100.4,20.3,137.0,108.0,29.0,,84.0,2.5,30.0,17.6,2.9,13.26,12.29,2.1,1.7,13.38,13.42,2.1,1.9,,,,,,,11.0,16.0,,,,,,,0.05,0.5,0.05,0.5,0.1,1175.0,5.0,1.0,79.0,0.1,0.7,0.1,0.05,0.02,69.0,53.0,1.0,1.5,1597.0,12.5,66.0,340.0,1.5,1.0,1.5,0.5,0.05,3719.0,117.0,12.5,,,0.0005,,,,,9000.0,,,,2206.9,10.34,2275.86,,125862.07,14551.72,,,2016,,,,,,,,,,,,,Potosi,11,November,Spring (Transition),Oxic
Chuquiago,BCH-060,2016-08-03,17:30,August 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,San Juan del Oro,Unidad 5,"21° 33' 39.6""","65° 38' 50.52""",-21.561,-65.6474,0.782,2.0,,,8.739,-115.5,1238.0,0.6,15.5,7.07,100.5,42.0,1090.0,1044.0,46.0,16.0,450.9,20.0,170.0,56.5,296.1,90.56,54.59,89.5,7.0,94.0,56.44,88.9,7.0,0.31,0.25,0.41,0.03,2.62,4.3,10.0,13.0,76.0,25.0,3.0,,,160.0,0.1,1.5,0.05,0.5,1.0,5.0,5.0,1.0,1.0,3.0,0.05,0.1,0.05,,315.0,1889.0,1.0,1.5,60.0,12.5,12.5,12.5,3.0,0.5,1.5,0.5,,1601.0,2574.0,12.5,,0.001,0.005,0.0005,0.019,,,,,0.0,,14891.3,,,,27956.52,1195.65,,,2016,,,,,,,,,,,,,Potosi,8,August,Winter (Dry),Oxic
La Angostura,BTP-090,2016-08-03,16:20,August 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tupiza,Unidad 5,"21° 30' 15.66""","65° 42' 21.84""",-21.5044,-65.7061,0.539,1.0,,,8.26,-89.0,1616.0,0.8,16.7,5.93,87.0,89.4,1431.0,1366.0,65.0,25.0,702.5,5.0,190.0,61.3,,107.76,105.26,88.3,8.0,107.76,105.63,88.9,8.1,1.29,0.86,3.98,0.01,3.7,2.9,18.0,21.0,12.0,60.0,44.0,,,2.0,0.1,1.5,0.05,0.5,12.0,1.0,5.0,1.0,2.0,1.0,0.05,0.1,0.05,,367.0,1322.0,1.0,1.5,52.0,12.5,12.5,27.0,1.5,0.5,6.0,0.5,,2601.0,1862.0,12.5,,0.001,0.006,0.0005,0.019,,,384.62,,,,8307.69,,,,34369.23,800.0,,,2016,,,,,,,,,,,,,Potosi,8,August,Winter (Dry),Oxic
Cotagaita,BCO-070,2016-08-03,14:00,August 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Cotagaita,Unidad 4,"20° 49' 15.24""","65° 40' 1.98""",-20.8209,-65.6672,0.637,1.0,,,8.275,-91.2,1753.0,0.9,20.7,7.26,112.5,134.0,1908.0,1732.0,176.0,5.0,667.1,5.0,70.0,41.5,,105.47,97.34,76.4,8.7,106.61,98.82,76.9,9.5,0.21,0.09,0.67,0.01,1.79,2.9,2.5,1.0,1.0,18.0,3.0,,,2.0,0.1,1.5,0.1,0.5,0.1,231.0,30.0,1.0,12.0,4.0,0.2,0.1,0.05,,382.0,1129.0,1.0,5.0,537.0,45.0,12.5,163.0,15.0,0.5,8.0,0.5,,6946.0,1886.0,12.5,,0.001,0.0005,0.0005,0.019,,,857.95,,62.5,,4301.14,,,27.84,37295.45,1738.64,85.23,,2016,,,,,,,,,,,,,Potosi,8,August,Winter (Dry),Oxic
Tumusla,BTU-080,2016-08-03,12:00,August 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tumusla,Unidad 4,"20° 29' 13.26""","65° 37' 7.86""",-20.4869,-65.6189,0.487,3.0,,,8.4,-95.9,698.0,0.3,14.4,8.0,107.2,119.0,585.0,490.0,95.0,27.0,118.8,5.0,115.0,40.6,152.0,21.78,15.65,57.3,6.8,21.9,16.17,58.9,7.7,0.31,0.31,0.22,0.01,2.27,4.3,2.5,3.0,16.0,28.0,0.0,,,70.0,0.1,1.5,0.05,0.5,0.4,27.0,2.0,1.0,1.0,4.0,0.05,0.1,0.05,,134.0,654.0,1.0,1.5,244.0,12.5,31.0,43.0,5.0,0.5,5.0,0.5,,4647.0,955.0,12.5,,0.001,0.005,0.0005,0.019,,,452.63,,10.53,,3168.42,,326.32,,47505.26,2284.21,,,2016,,,,,,,,,,,,,Potosi,8,August,Winter (Dry),Oxic
Tarapaya,BTA-050,2016-08-02,17:40,August 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tarapaya,Unidad 1,"19° 28' 18.72""","65° 47' 36.84""",-19.4717,-65.7936,0.597,1.0,,,7.584,-49.8,1110.0,0.5,11.9,6.17,86.1,299.0,1055.0,732.0,323.0,29.0,264.9,2.5,105.0,79.1,263.2,82.53,14.29,85.5,24.7,84.83,14.44,85.5,25.7,3.74,0.15,13.87,0.01,1.91,5.7,54.0,77.0,28.0,14.0,0.0,,,180.0,0.1,3.0,0.1,0.5,1.0,1044.0,16.0,63.0,1241.0,22.0,4.0,0.6,0.05,,416.0,280.0,1.0,8.0,1625.0,12.5,368.0,10203.0,253.0,41.0,296.0,9.0,,23913.0,306.0,12.5,,0.001,0.005,0.0005,0.15,,,27746.13,839.94,715.17,9.29,80.5,114.55,944.27,21.67,72746.13,1798.76,,27.86,2016,,,,,,,,,,,,,Potosi,8,August,Winter (Dry),Oxic
San Antonio - Potosí,BSA-030,2016-08-02,16:20,August 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Aljamayu,Unidad 1,"19° 34' 41.76""","65° 48' 11.7""",-19.5781,-65.8031,0.469,0.0,,,7.73,-58.2,1290.0,0.6,13.6,4.67,69.3,471.0,1334.0,754.0,580.0,60.0,135.0,2.5,235.0,109.1,213.4,34.39,11.92,115.5,38.8,35.53,12.22,118.4,38.8,15.58,2.61,63.52,0.01,10.49,113.4,235.0,277.0,85.0,8100.0,7200.0,,,100.0,0.1,1.5,0.1,0.5,0.7,1393.0,13.0,25.0,2026.0,30.0,6.0,0.1,0.05,,472.0,340.0,1.0,6.0,1815.0,12.5,412.0,12140.0,287.0,39.0,283.0,6.0,,28789.0,376.0,12.5,,0.001,0.023,0.005,0.067,,,17437.93,421.03,443.1,,62.07,56.9,667.24,9.14,48822.41,727.59,,10.34,2016,,,,,,,,,,,,,Potosi,8,August,Winter (Dry),Oxic
