Station,Campaign,Date,Metal,Sediment_Conc_mg_per_kg,Water_Conc_ug_per_L,Water_Conc_mg_per_L,Partitioning_Ratio_L_per_kg,Log_Partitioning_Ratio,DO_mg_per_L,DO_Status,pH,Fe_%,Mn_mg_per_kg,Al_%,S_%,Organic_Matter_%
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,November 2016,2016-11-16,Arsenic,6.4,1.5,0.0015,4266.666666666667,3.630088714928206,5.63,Oxic,8.1,2.61,450.0,0.95,0.5,2.03
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,November 2016,2016-11-16,Cadmium,0.05,0.5,0.0005,100.0,2.0,5.63,Oxic,8.1,2.61,450.0,0.95,0.5,2.03
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,November 2016,2016-11-16,Lead,14.6,5.0,0.005,2920.0,3.4653828514484184,5.63,Oxic,8.1,2.61,450.0,0.95,0.5,2.03
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,November 2016,2016-11-16,Zinc,45.3,39.0,0.039,1161.5384615384614,3.0650335949863328,5.63,Oxic,8.1,2.61,450.0,0.95,0.5,2.03
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,November 2016,2016-11-16,Arsenic,5.4,1.5,0.0015,3600.0,3.5563025007672873,5.63,Oxic,8.1,2.4,413.0,0.84,0.5,2.03
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,November 2016,2016-11-16,Cadmium,0.06,0.5,0.0005,120.0,2.0791812460476247,5.63,Oxic,8.1,2.4,413.0,0.84,0.5,2.03
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,November 2016,2016-11-16,Lead,12.4,5.0,0.005,2480.0,3.3944516808262164,5.63,Oxic,8.1,2.4,413.0,0.84,0.5,2.03
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,November 2016,2016-11-16,Zinc,40.2,39.0,0.039,1030.769230769231,3.0131614460579708,5.63,Oxic,8.1,2.4,413.0,0.84,0.5,2.03
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,August 2016,2016-08-02,Arsenic,7.4,2.0,0.002,3700.0,3.568201724066995,6.78,Oxic,8.1,2.74,846.0,1.45,0.5,
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,August 2016,2016-08-02,Cadmium,2.06,2.0,0.002,1030.0,3.012837224705172,6.78,Oxic,8.1,2.74,846.0,1.45,0.5,
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,August 2016,2016-08-02,Lead,20.8,4.0,0.004,5200.0,3.716003343634799,6.78,Oxic,8.1,2.74,846.0,1.45,0.5,
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,August 2016,2016-08-02,Zinc,238.0,163.0,0.163,1460.122699386503,3.164389352652554,6.78,Oxic,8.1,2.74,846.0,1.45,0.5,
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,August 2016,2016-08-02,Arsenic,5.4,2.0,0.002,2700.0,3.4313637641589874,6.78,Oxic,8.1,2.2,649.0,1.04,0.5,
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,August 2016,2016-08-02,Cadmium,1.25,2.0,0.002,625.0,2.7958800173440754,6.78,Oxic,8.1,2.2,649.0,1.04,0.5,
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,August 2016,2016-08-02,Lead,17.5,4.0,0.004,4375.0,3.640978057358332,6.78,Oxic,8.1,2.2,649.0,1.04,0.5,
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,August 2016,2016-08-02,Zinc,182.0,163.0,0.163,1116.564417177914,3.047883783581117,6.78,Oxic,8.1,2.2,649.0,1.04,0.5,
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,August 2016,2016-08-02,Arsenic,6.0,2.0,0.002,3000.0,3.4771212547196626,6.78,Oxic,8.1,2.06,694.0,0.9,0.5,
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,August 2016,2016-08-02,Cadmium,1.42,2.0,0.002,710.0,2.8512583487190755,6.78,Oxic,8.1,2.06,694.0,0.9,0.5,
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,August 2016,2016-08-02,Lead,19.7,4.0,0.004,4925.0,3.6924062348336304,6.78,Oxic,8.1,2.06,694.0,0.9,0.5,
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,August 2016,2016-08-02,Zinc,157.0,163.0,0.163,963.1901840490797,2.983712048005276,6.78,Oxic,8.1,2.06,694.0,0.9,0.5,
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,August 2016,2016-08-02,Arsenic,3.9,2.0,0.002,1950.0,3.290034611362518,6.78,Oxic,8.1,2.18,525.0,0.96,0.5,
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,August 2016,2016-08-02,Cadmium,0.5,2.0,0.002,250.0,2.3979400086720375,6.78,Oxic,8.1,2.18,525.0,0.96,0.5,
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,August 2016,2016-08-02,Lead,11.3,4.0,0.004,2825.0,3.4510184521554574,6.78,Oxic,8.1,2.18,525.0,0.96,0.5,
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,August 2016,2016-08-02,Zinc,56.2,163.0,0.163,344.7852760736196,2.5375487111651034,6.78,Oxic,8.1,2.18,525.0,0.96,0.5,
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Arsenic,7.2,18.0,0.018,400.00000000000006,2.6020599913279625,6.18,Oxic,8.4,2.18,386.0,1.41,0.5,0.45
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Cadmium,0.05,0.5,0.0005,100.0,2.0,6.18,Oxic,8.4,2.18,386.0,1.41,0.5,0.45
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Lead,19.3,36.0,0.036,536.1111111111112,2.7292548082404866,6.18,Oxic,8.4,2.18,386.0,1.41,0.5,0.45
